,inducted,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,seasons
236,0,2293,8288.0,1231.0,2365.0,412.0,55.0,185.0,1003.0,236.0,109.0,850.0,874.0,48.0,37.0,124.0,76.0,156.0,20
237,0,1269,4623.0,657.0,1400.0,275.0,38.0,130.0,726.0,80.0,43.0,460.0,364.0,79.0,39.0,3.0,41.0,136.0,12
238,0,1278,4559.0,802.0,1298.0,281.0,43.0,81.0,404.0,285.0,72.0,640.0,503.0,50.0,31.0,25.0,27.0,39.0,13
239,0,1304,4612.0,671.0,1187.0,238.0,39.0,119.0,458.0,103.0,62.0,439.0,987.0,8.0,66.0,99.0,19.0,72.0,11
240,1,3026,11336.0,1627.0,3255.0,560.0,35.0,504.0,1917.0,110.0,43.0,1333.0,1516.0,222.0,18.0,2.0,128.0,316.0,23
241,1,2164,8385.0,1318.0,2386.0,403.0,76.0,282.0,1061.0,344.0,107.0,761.0,1260.0,59.0,34.0,31.0,71.0,139.0,16
242,0,1371,5406.0,849.0,1425.0,176.0,89.0,28.0,346.0,752.0,177.0,477.0,960.0,12.0,15.0,48.0,24.0,45.0,14
243,0,2213,8180.0,1359.0,2375.0,277.0,131.0,54.0,578.0,558.0,257.0,1129.0,907.0,23.0,38.0,147.0,51.0,62.0,18
244,0,1988,6489.0,667.0,1687.0,298.0,27.0,107.0,708.0,80.0,63.0,455.0,846.0,72.0,23.0,68.0,38.0,234.0,19
245,0,1161,3630.0,511.0,891.0,197.0,25.0,137.0,588.0,50.0,10.0,629.0,726.0,58.0,24.0,12.0,41.0,35.0,15
246,0,1406,5011.0,756.0,1366.0,289.0,22.0,262.0,925.0,37.0,30.0,768.0,1362.0,47.0,17.0,2.0,44.0,110.0,15
247,0,1485,4698.0,711.0,1132.0,210.0,16.0,245.0,732.0,23.0,29.0,949.0,1307.0,72.0,30.0,21.0,47.0,86.0,14
248,1,2683,10835.0,1782.0,3319.0,605.0,114.0,234.0,1307.0,504.0,131.0,1094.0,1244.0,100.0,47.0,75.0,109.0,209.0,21
249,0,2189,8422.0,1170.0,2184.0,432.0,53.0,396.0,1445.0,231.0,66.0,527.0,1387.0,86.0,90.0,10.0,105.0,132.0,17
250,0,1422,3995.0,492.0,1160.0,221.0,39.0,52.0,477.0,105.0,38.0,324.0,435.0,47.0,8.0,22.0,42.0,75.0,16
251,0,1223,4134.0,630.0,1173.0,224.0,25.0,234.0,760.0,30.0,31.0,491.0,719.0,87.0,27.0,2.0,42.0,89.0,15
252,0,1720,6081.0,873.0,1578.0,287.0,102.0,161.0,703.0,396.0,143.0,440.0,1442.0,38.0,74.0,27.0,42.0,81.0,19
253,0,1470,5157.0,744.0,1313.0,200.0,7.0,319.0,1008.0,2.0,6.0,693.0,1316.0,76.0,43.0,0.0,46.0,169.0,15
254,0,1893,7032.0,851.0,1897.0,356.0,39.0,140.0,946.0,127.0,59.0,486.0,979.0,77.0,15.0,37.0,67.0,178.0,16
255,0,2201,7649.0,1010.0,2254.0,350.0,94.0,79.0,856.0,352.0,121.0,448.0,1238.0,58.0,15.0,30.0,46.0,157.0,19
256,0,1583,5418.0,898.0,1401.0,256.0,38.0,335.0,1000.0,221.0,99.0,816.0,1352.0,131.0,38.0,1.0,53.0,64.0,17
257,0,2161,7617.0,1300.0,2023.0,360.0,50.0,160.0,819.0,177.0,114.0,1319.0,1499.0,44.0,42.0,69.0,63.0,127.0,20
258,0,1546,5369.0,638.0,1453.0,273.0,21.0,162.0,745.0,23.0,22.0,418.0,938.0,31.0,48.0,15.0,46.0,176.0,14
259,0,1709,5115.0,878.0,1379.0,142.0,27.0,11.0,318.0,620.0,186.0,585.0,694.0,10.0,5.0,67.0,28.0,72.0,18
260,0,1539,5853.0,974.0,1726.0,389.0,21.0,381.0,1239.0,88.0,41.0,683.0,961.0,91.0,55.0,4.0,78.0,193.0,12
261,0,1976,7173.0,1186.0,2176.0,440.0,47.0,284.0,1205.0,67.0,48.0,937.0,1190.0,155.0,59.0,13.0,101.0,100.0,16
262,0,1993,6686.0,773.0,1764.0,275.0,69.0,28.0,619.0,169.0,108.0,239.0,511.0,25.0,7.0,141.0,60.0,114.0,17
263,0,1246,3998.0,535.0,1216.0,246.0,21.0,76.0,513.0,45.0,24.0,356.0,548.0,55.0,22.0,28.0,39.0,105.0,14
264,0,1465,5520.0,761.0,1593.0,300.0,27.0,126.0,663.0,196.0,63.0,472.0,348.0,59.0,24.0,4.0,52.0,156.0,15
265,0,1495,4686.0,623.0,1207.0,182.0,31.0,25.0,386.0,96.0,35.0,658.0,658.0,38.0,40.0,89.0,42.0,75.0,14
266,0,1086,3744.0,444.0,966.0,186.0,20.0,28.0,355.0,47.0,44.0,154.0,306.0,0.0,36.0,77.0,21.0,105.0,12
267,1,3001,11551.0,1647.0,3184.0,603.0,44.0,431.0,1695.0,36.0,39.0,1129.0,1305.0,107.0,66.0,10.0,127.0,350.0,21
268,1,2440,9288.0,1383.0,3141.0,543.0,85.0,135.0,1138.0,319.0,125.0,790.0,434.0,203.0,24.0,45.0,85.0,260.0,20
269,0,1874,6187.0,1167.0,1626.0,252.0,6.0,583.0,1414.0,12.0,8.0,1317.0,1596.0,150.0,75.0,3.0,78.0,147.0,17
270,0,2830,9908.0,1299.0,2866.0,488.0,49.0,384.0,1628.0,34.0,34.0,1062.0,1441.0,187.0,14.0,9.0,99.0,298.0,27
271,0,2158,7911.0,1057.0,2276.0,414.0,92.0,94.0,844.0,246.0,138.0,690.0,784.0,48.0,64.0,67.0,61.0,161.0,19
272,0,1704,6381.0,934.0,1906.0,401.0,27.0,274.0,1141.0,152.0,73.0,355.0,1078.0,32.0,41.0,5.0,73.0,176.0,15
