4242	30
4442	-3429
4642	-549
4842	124
5042	-234
5242	-20483
43	-2168
243	-184
443	-1083
643	46
843	1326
1043	-1384
1243	-1314
1443	465
1643	-48
1843	-783
2043	-4252
2243	-1969
2443	-3711
2643	-2462
2843	136
3043	-3604
3243	102
3443	-2028
3643	826
3843	66
4043	131
4243	245
4443	-2729
4643	444
4843	281
5043	242
5243	-35338
44	-752
244	281
444	-513
644	409
844	-147
1044	-950
1244	-2781
1444	-1181
1644	-49
1844	-799
2044	-22511
2244	-1362
2444	-1912
2644	-14280
2844	-954
3044	-3969
3244	-746
3444	-51
3644	120
3844	-1578
4044	-7600
4244	-789
4444	387
4644	-850
4844	-142
5044	-1530
5244	-559
45	-856
245	-744
445	526
645	484
845	1156
1245	-6304
1445	-16466
1645	-1431
1845	-135
2045	-3801
2245	365
2445	-561
2645	-12233
2845	-5468
3045	-796
3245	-1738
3445	-6972
3645	-1831
3845	-1549
4045	-3869
4245	-2586
4445	283
4645	154
4845	-5137
5045	-935
5245	-20
46	300
246	-161
446	-1247
646	663
846	486
1246	-97
1446	-11060
1646	411
1846	-6869
2046	-383
2246	-1522
2446	-631
2646	-7556
2846	-4131
3046	-37
3246	-3455
3446	-632
3646	-1535
3846	-481
4046	-21107
4246	-33328
4446	-2167
4646	-1136
4846	-576
5046	-767
5246	-1895
47	-1323
247	-734
447	-5321
647	615
1047	807
1247	-2953
1447	-2060
1647	-1165
1847	-3548
2047	-299
2247	-113
2447	443
2647	-4919
2847	-2845
3047	-1539
3247	-1516
3447	660
3647	-289
3847	-734
4047	-690
4247	-10247
4447	-8846
4647	-1564
4847	-124
5047	-3514
5247	-1558
48	-165
248	-1869
448	-3222
648	-35
848	185
1048	-447
1248	-263
1448	-3089
1648	-31001
1848	-2684
2048	-6597
2248	357
2448	460
2648	-4089
2848	-285
3048	-472
3248	-1940
3448	-105
3648	325
3848	512
4048	-9257
4248	-262
4448	-1326
4648	172
4848	808
5048	-3245
5248	-450
49	-1437
249	-1322
449	-2832
649	851
849	164
1049	305
1249	-89
1449	-1712
1649	-7929
1849	-2170
2049	426
2249	-7597
2449	155
2649	-4119
2849	-5647
3049	-2355
3249	-923
3449	285
3649	-132
3849	-401
4049	-5828
4249	319
4449	78
4849	-1927
5049	-1977
5249	-16569
50	-5140
250	-1861
450	-3505
850	-3344
1050	-428
1250	-4056
1450	-5003
1650	-154
1850	0
2050	-1172
2250	-843
2450	702
2650	-1103
2850	-753
3050	-2328
3250	-419
3450	-30305
3650	-1814
3850	-1975
4050	-1273
4250	-652
4450	-1906
4650	149
4850	-1659
5050	-559
5250	-2688
51	-861
251	-2774
451	-1275
651	-90
851	382
1051	-2910
1251	296
1451	156
1651	-5426
1851	-1066
2051	-2677
2251	-1281
2451	-1820
2651	-716
2851	-801
3051	271
3251	850
3451	-1475
3651	271
3851	-868
4051	-2433
4251	-2640
4451	-4758
4651	934
4851	481
5051	-3951
5251	299
52	-14057
252	-255
452	-12571
652	227
852	-148
1052	-3300
1252	-34
1452	-547
1652	-5216
1852	-2308
2052	-1155
2252	-2036
2452	-5
2652	142
2852	386
3052	-4646
3252	466
3452	-1551
3652	-581
3852	-1583
4052	-1509
4252	-382
4452	-1385
4652	-1516
4852	401
5052	-1629
5252	-12217
53	-4830
253	-3145
453	-1614
653	-307
853	463
1053	-329
1253	-414
1453	-30511
1653	-276
1853	-322
2053	-4368
2253	-2435
2453	703
2653	-2995
2853	-219
3053	-3831
3253	-414
3453	-861
3653	-500
3853	303
4053	-9987
4253	-4108
4453	312
4653	-2440
4853	323
5053	-982
5253	-321
54	31
254	-3629
454	-13712
654	1046
854	-6847
1054	818
1254	356
1454	-297
1654	-7
1854	-10013
2054	-4865
2254	-514
2454	-2267
2654	-255
2854	-846
3054	-2170
3254	-138
3454	-1429
3654	-656
3854	-166
4054	-2119
4254	-7617
4454	-2850
4654	-1119
4854	486
5054	-2611
5254	-1841
55	62
255	-1828
455	-5703
655	468
855	-1096
1055	99
1255	-9539
1455	-7112
1655	-741
1855	-3330
2055	133
2255	-450
2455	-2270
2655	-5905
2855	-20024
3055	-307
3255	-934
3455	-1698
3655	243
3855	-973
4055	-1512
4255	61
4455	-8609
4655	-844
4855	410
